iteration,a,b,c,quality
160,580555710398.0381,0.07217103377516855,-271597937404.18164,2.3594621223705214e+25
161,580555710398.0381,0.0721699209391891,-271597937404.18164,2.3594554128319934e+25
162,580555710398.0381,0.07217042498346503,-271597937404.18164,2.359452702828348e+25
163,580555710398.0381,0.07217194978524677,-271597937404.18164,2.3594590158829786e+25
164,580555710398.0381,0.07217305095942074,-271597937404.18164,2.35945540671204e+25
165,580555710398.0381,0.07217279111197954,-271597937404.18164,2.3594520475160435e+25
166,580555710398.0381,0.0721715296375864,-271597937404.18164,2.3594566883643685e+25
167,580555710398.0381,0.0721704875601673,-271597937404.18164,2.3594550589169807e+25
168,580555710398.0381,0.07217057788978878,-271597937404.18164,2.3594518389726974e+25
169,580555710398.0381,0.07217161281028603,-271597937404.18164,2.3594550452678027e+25
170,580555710398.0381,0.07217257009794935,-271597937404.18164,2.3594545572696293e+25
171,580555710398.0381,0.07217259092864159,-271597937404.18164,2.3594518117631867e+25
172,580555710398.0381,0.0721717446598845,-271597937404.18164,2.359453932751431e+25
173,580555710398.0381,0.07217088361235915,-271597937404.18164,2.3594540287010523e+25
174,580555710398.0381,0.07217079556381956,-271597937404.18164,2.359451837911959e+25
175,580555710398.0381,0.07217148824379802,-271597937404.18164,2.359453201482045e+25
176,580555710398.0381,0.07217225141518538,-271597937404.18164,2.3594535451200196e+25
177,580555710398.0381,0.0721723748359269,-271597937404.18164,2.35945186511511e+25
178,580555710398.0381,0.07217180477728977,-271597937404.18164,2.3594527292907262e+25
179,580555710398.0381,0.0721711355531645,-271597937404.18164,2.3594531364710927e+25
180,580555710398.0381,0.0721709991617885,-271597937404.18164,2.359451878037626e+25
181,580555710398.0381,0.0721714725119064,-271597937404.18164,2.359452427506214e+25
182,580555710398.0381,0.0721720549080988,-271597937404.18164,2.3594528079978204e+25
183,580555710398.0381,0.07217218924366037,-271597937404.18164,2.3594518772468166e+25
184,580555710398.0381,0.07217179139835052,-271597937404.18164,2.359452234639668e+25
185,580555710398.0381,0.07217128750058394,-271597937404.18164,2.359452552379683e+25
186,580555710398.0381,0.07217116490022875,-271597937404.18164,2.3594518675796247e+25
187,580555710398.0381,0.07217150396364286,-271597937404.18164,2.3594521106774606e+25
188,580555710398.0381,0.07217193791415087,-271597937404.18164,2.3594523575220052e+25
189,580555710398.0381,0.07217204307123246,-271597937404.18164,2.3594518542009004e+25
190,580555710398.0381,0.0721717498047226,-271597937404.18164,2.3594520297791553e+25
191,580555710398.0381,0.0721713777630795,-271597937404.18164,2.3594522108708696e+25
192,580555710398.0381,0.07217129302657142,-271597937404.18164,2.3594518406547355e+25
193,580555710398.0381,0.07217155025767641,-271597937404.18164,2.3594519758933038e+25
194,580555710398.0381,0.07217186766043561,-271597937404.18164,2.3594521012815398e+25
195,580555710398.0381,0.07217193095181036,-271597937404.18164,2.3594518290748843e+25
196,580555710398.0381,0.07217170254201315,-271597937404.18164,2.359451938911636e+25
197,580555710398.0381,0.0721714334340599,-271597937404.18164,2.3594520196970138e+25
198,580555710398.0381,0.07217139131961466,-271597937404.18164,2.3594518203231394e+25
199,580555710398.0381,0.07217159604180101,-271597937404.18164,2.359451912615919e+25
200,580555710398.0381,0.07217182233280947,-271597937404.18164,2.359451959089356e+25
201,580555710398.0381,0.07217184443871304,-271597937404.18164,2.359451814527779e+25
202,580555710398.0381,0.07217165985231815,-271597937404.18164,2.359451893087542e+25
203,580555710398.0381,0.0721714717018135,-271597937404.18164,2.3594519141810382e+25
204,580555710398.0381,0.07217146785110005,-271597937404.18164,2.359451811343109e+25
205,580555710398.0381,0.07217163461978052,-271597937404.18164,2.3594518779042704e+25
206,580555710398.0381,0.07217178866299181,-271597937404.18164,2.3594518810732807e+25
207,580555710398.0381,0.07217177641131689,-271597937404.18164,2.3594518102235917e+25
208,580555710398.0381,0.07217162603496743,-271597937404.18164,2.359451865549173e+25
209,580555710398.0381,0.07217150258554654,-271597937404.18164,2.3594518569035477e+25
210,580555710398.0381,0.07217152852968779,-271597937404.18164,2.3594518105521687e+25
211,580555710398.0381,0.07217166329422162,-271597937404.18164,2.359451855109416e+25
212,580555710398.0381,0.07217175930226455,-271597937404.18164,2.3594518395633263e+25
213,580555710398.0381,0.07217172223781447,-271597937404.18164,2.3594518117370084e+25
214,580555710398.0381,0.07217160271770925,-271597937404.18164,2.359451846057839e+25
215,580555710398.0381,0.07217153124629441,-271597937404.18164,2.3594518274690536e+25
216,580555710398.0381,0.07217157677131003,-271597937404.18164,2.3594518132624803e+25
217,580555710398.0381,0.07217168118083246,-271597937404.18164,2.3594518381257617e+25
218,580555710398.0381,0.07217173089072665,-271597937404.18164,2.359451819402051e+25
219,580555710398.0381,0.07217167958300652,-271597937404.18164,2.359451814716283e+25
220,580555710398.0381,0.07217159022365353,-271597937404.18164,2.3594518312079072e+25
221,580555710398.0381,0.07217155955545088,-271597937404.18164,2.359451814386541e+25
222,580555710398.0381,0.0721716140125764,-271597937404.18164,2.359451815808154e+25
223,580555710398.0381,0.07217168843908393,-271597937404.18164,2.359451825291651e+25
224,580555710398.0381,0.07217170279065128,-271597937404.18164,2.3594518116177642e+25
225,580555710398.0381,0.07217164769987121,-271597937404.18164,2.359451816371261e+25
226,580555710398.0381,0.07217158792585916,-271597937404.18164,2.3594518204015303e+25
227,580555710398.0381,0.07217158713845107,-271597937404.18164,2.3594518104154758e+25
228,580555710398.0381,0.07217164053594237,-271597937404.18164,2.3594518163593914e+25
229,580555710398.0381,0.07217168618378973,-271597937404.18164,2.3594518165542274e+25
230,580555710398.0381,0.07217167618509879,-271597937404.18164,2.359451810206805e+25
231,580555710398.0381,0.07217162653970541,-271597937404.18164,2.359451815829454e+25
232,580555710398.0381,0.07217159419306136,-271597937404.18164,2.3594518137267903e+25
233,580555710398.0381,0.072171612206895,-271597937404.18164,2.35945181052289e+25
234,580555710398.0381,0.07217165638383068,-271597937404.18164,2.359451814916688e+25
235,580555710398.0381,0.0721716765794337,-271597937404.18164,2.3594518118388193e+25
236,580555710398.0381,0.07217165325709751,-271597937404.18164,2.359451811004739e+25
237,580555710398.0381,0.07217161585322675,-271597937404.18164,2.3594518138004636e+25
238,580555710398.0381,0.07217160634130286,-271597937404.18164,2.3594518107501083e+25
239,580555710398.0381,0.07217163240649344,-271597937404.18164,2.3594518114088214e+25
240,580555710398.0381,0.07217166219834337,-271597937404.18164,2.3594518126668938e+25
241,580555710398.0381,0.07217166277317026,-271597937404.18164,2.359451810273833e+25
242,580555710398.0381,0.07217163629937347,-271597937404.18164,2.3594518116053067e+25
243,580555710398.0381,0.07217161446084569,-271597937404.18164,2.359451811673655e+25
244,580555710398.0381,0.07217162086774254,-271597937404.18164,2.359451810201435e+25
245,580555710398.0381,0.07217164573997424,-271597937404.18164,2.3594518115653618e+25
246,580555710398.0381,0.07217165978539115,-271597937404.18164,2.3594518109235996e+25
247,580555710398.0381,0.0721716484643047,-271597937404.18164,2.3594518103334616e+25
248,580555710398.0381,0.0721716267935564,-271597937404.18164,2.359451811336019e+25
249,580555710398.0381,0.07217161991001897,-271597937404.18164,2.3594518104525542e+25
250,580555710398.0381,0.0721716340821459,-271597937404.18164,2.3594518105086267e+25
251,580555710398.0381,0.07217165142884044,-271597937404.18164,2.3594518110067747e+25
252,580555710398.0381,0.07217165218740691,-271597937404.18164,2.3594518102335994e+25
253,580555710398.0381,0.07217163709667151,-271597937404.18164,2.359451810623355e+25
254,580555710398.0381,0.07217162468113125,-271597937404.18164,2.3594518106739645e+25
255,580555710398.0381,0.07217162870441918,-271597937404.18164,2.359451810195747e+25
256,580555710398.0381,0.0721716430351003,-271597937404.18164,2.359451810636871e+25
257,580555710398.0381,0.07217165042865195,-271597937404.18164,2.3594518104114123e+25
258,580555710398.0381,0.07217164314633144,-271597937404.18164,2.3594518102511147e+25
259,580555710398.0381,0.07217163089411077,-271597937404.18164,2.359451810560926e+25
260,580555710398.0381,0.0721716281386015,-271597937404.18164,2.359451810253793e+25
261,580555710398.0381,0.07217163712058423,-271597937404.18164,2.359451810321944e+25
262,580555710398.0381,0.07217164641224665,-271597937404.18164,2.359451810438346e+25
263,580555710398.0381,0.07217164530542554,-271597937404.18164,2.3594518101956207e+25
264,580555710398.0381,0.07217163607417122,-271597937404.18164,2.3594518103594767e+25
265,580555710398.0381,0.07217163015416986,-271597937404.18164,2.3594518103178275e+25
266,580555710398.0381,0.07217163407473073,-271597937404.18164,2.3594518102036106e+25
267,580555710398.0381,0.0721716423452219,-271597937404.18164,2.359451810349558e+25
268,580555710398.0381,0.0721716449400621,-271597937404.18164,2.359451810233743e+25
269,580555710398.0381,0.07217163938435793,-271597937404.18164,2.3594518102358353e+25
270,580555710398.0381,0.07217163294316016,-271597937404.18164,2.359451810305386e+25
271,580555710398.0381,0.0721716332316766,-271597937404.18164,2.359451810196667e+25
272,580555710398.0381,0.07217163926450779,-271597937404.18164,2.3594518102594607e+25
273,580555710398.0381,0.07217164340665078,-271597937404.18164,2.3594518102523095e+25
274,580555710398.0381,0.07217164096712886,-271597937404.18164,2.359451810195981e+25
275,580555710398.0381,0.0721716354552339,-271597937404.18164,2.3594518102603085e+25
276,580555710398.0381,0.0721716336780272,-271597937404.18164,2.3594518102122727e+25
277,580555710398.0381,0.07217163737981888,-271597937404.18164,2.359451810210852e+25
278,580555710398.0381,0.07217164164198915,-271597937404.18164,2.3594518102420467e+25
279,580555710398.0381,0.07217164134428664,-271597937404.18164,2.3594518101944752e+25
280,580555710398.0381,0.07217163728040185,-271597937404.18164,2.35945181022265e+25
281,580555710398.0381,0.07217163466347477,-271597937404.18164,2.3594518102177995e+25
282,580555710398.0381,0.07217163648393092,-271597937404.18164,2.3594518101948815e+25
283,580555710398.0381,0.07217164013265856,-271597937404.18164,2.359451810222842e+25
284,580555710398.0381,0.07217164105196251,-271597937404.18164,2.359451810199845e+25
285,580555710398.0381,0.07217163839865365,-271597937404.18164,2.3594518102025145e+25
286,580555710398.0381,0.07217163571609497,-271597937404.18164,2.3594518102134543e+25
287,580555710398.0381,0.07217163624796652,-271597937404.18164,2.359451810193135e+25
288,580555710398.0381,0.07217163904059117,-271597937404.18164,2.359451810207564e+25
289,580555710398.0381,0.07217164048869115,-271597937404.18164,2.3594518102019107e+25
290,580555710398.0381,0.07217163896189652,-271597937404.18164,2.3594518101948953e+25
291,580555710398.0381,0.07217163660635964,-271597937404.18164,2.359451810206264e+25
292,580555710398.0381,0.0721716363762316,-271597937404.18164,2.359451810194569e+25
293,580555710398.0381,0.07217163834789848,-271597937404.18164,2.3594518101988754e+25
